epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3573095500469208,3.051440715789795,1e-04,0.3849261701107025,2.501810312271118
1,0.40248703956604004,2.2444565296173096,1e-04,0.4597380757331848,1.8980571031570435
2,0.43362709879875183,1.8829925060272217,1e-04,0.514906644821167,1.6563441753387451
3,0.4613535702228546,1.7030680179595947,1e-04,0.5137921571731567,1.5439906120300293
4,0.49392175674438477,1.5810538530349731,1e-04,0.5250766277313232,1.4611390829086304
5,0.5134626626968384,1.4938908815383911,1e-04,0.5335748195648193,1.4196687936782837
6,0.5280573964118958,1.4451559782028198,1e-04,0.5519643425941467,1.350027084350586
7,0.5443241000175476,1.391867995262146,1e-04,0.5707718133926392,1.3012136220932007
8,0.5484691262245178,1.3659433126449585,1e-04,0.5679855346679688,1.3001495599746704
9,0.5581873059272766,1.3419016599655151,1e-04,0.5445806384086609,1.3844224214553833
